16	16	375
-1	-1	5	-1	6	12	-1	-1	-1	-1	-1	-1	-1	-1	9	288	
-1	-1	-1	-1	45	-1	22	35	-1	-1	70	70	136	-1	-1	254	
-1	156	-1	-1	-1	-1	-1	-1	90	97	-1	-1	120	-1	-1	136	
47	-1	-1	-1	-1	-1	-1	238	-1	204	-1	90	-1	-1	138	-1	
-1	-1	-1	12	-1	277	-1	-1	25	17	182	-1	-1	-1	-1	22	
-1	-1	-1	-1	216	193	296	244	-1	-1	24	-1	-1	-1	-1	-1	
-1	-1	-1	-1	8	-1	-1	-1	-1	-1	5	-1	-1	111	-1	-1	
-1	-1	-1	15	-1	-1	166	-1	132	-1	-1	-1	-1	226	-1	-1	
-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	304	369	-1	-1	
-1	-1	355	-1	-1	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
173	-1	113	-1	65	-1	-1	-1	-1	-1	161	-1	-1	-1	31	-1	
-1	-1	-1	67	-1	-1	-1	-1	50	-1	-1	105	-1	-1	-1	-1	
50	374	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	156	24	317	
23	10	-1	255	-1	-1	-1	223	-1	-1	-1	60	-1	-1	-1	-1	
113	314	54	309	-1	239	-1	-1	363	27	-1	-1	326	-1	33	-1	
-1	179	211	-1	-1	-1	49	329	-1	368	-1	13	298	353	-1	-1	

