16	16	375
-1	-1	37	-1	54	6	-1	-1	-1	-1	-1	-1	-1	-1	50	317	
-1	-1	-1	-1	90	-1	26	79	-1	-1	15	53	251	-1	-1	156	
-1	70	-1	-1	-1	-1	-1	-1	15	69	-1	-1	39	-1	-1	218	
25	-1	-1	-1	-1	-1	-1	295	-1	303	-1	348	-1	-1	68	-1	
-1	-1	-1	2	-1	5	-1	-1	15	87	72	-1	-1	-1	-1	95	
-1	-1	-1	-1	33	46	21	332	-1	-1	186	-1	-1	-1	-1	-1	
-1	-1	-1	-1	37	-1	-1	-1	-1	-1	33	-1	-1	97	-1	-1	
-1	-1	-1	279	-1	-1	274	-1	81	-1	-1	-1	-1	316	-1	-1	
-1	-1	-1	-1	-1	-1	37	-1	-1	-1	-1	-1	283	198	-1	-1	
-1	-1	161	-1	-1	281	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
341	-1	301	-1	254	-1	-1	-1	-1	-1	238	-1	-1	-1	173	-1	
-1	-1	-1	0	-1	-1	-1	-1	129	-1	-1	253	-1	-1	-1	-1	
54	7	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	59	149	126	
259	49	-1	18	-1	-1	-1	134	-1	-1	-1	27	-1	-1	-1	-1	
47	285	17	112	-1	272	-1	-1	315	15	-1	-1	338	-1	281	-1	
-1	132	301	-1	-1	-1	26	24	-1	276	-1	367	208	71	-1	-1	

