1	211
1	315
1	600
1	916
1	1227
1	1463
1	1819
1	2116
1	2409
1	2717
1	3020
1	3302
1	3603
1	3893
1	4208
1	4490
1	4818
1	5090
1	5404
1	5685
2	99
2	317
2	604
2	915
2	1219
2	1489
2	1772
2	2107
2	2403
2	2705
2	3012
2	3317
2	3615
2	3913
2	4211
2	4494
2	4802
2	5104
2	5390
2	5709
3	31
3	316
3	601
3	893
3	1211
3	1517
3	1812
3	2112
3	2407
3	2714
3	3016
3	3300
3	3618
3	3903
3	4212
3	4515
3	4818
3	5092
3	5398
3	5719
4	247
4	317
4	602
4	902
4	1218
4	1478
4	1810
4	2110
4	2406
4	2711
4	3013
4	3306
4	3608
4	3905
4	4215
4	4501
4	4821
4	5106
4	5408
4	5716
4	5990
5	119
5	317
5	601
5	907
5	1221
5	1521
5	1813
5	2118
5	2414
5	2707
5	3017
5	3304
5	3603
5	3910
5	4198
5	4516
5	4822
5	5121
5	5420
5	5697
5	5993
6	243
6	317
6	606
6	904
6	1225
6	1515
6	1809
6	2117
6	2337
6	2709
6	3010
6	3299
6	3616
6	3912
6	4206
6	4509
6	4791
6	5096
6	5410
6	5721
7	23
7	310
7	602
7	897
7	1219
7	1514
7	1812
7	2114
7	2416
7	2716
7	3007
7	3304
7	3614
7	3907
7	4214
7	4517
7	4823
7	5109
7	5392
7	5721
8	76
8	317
8	607
8	889
8	1220
8	1517
8	1814
8	2109
8	2413
8	2715
8	3008
8	3302
8	3619
8	3915
8	4213
8	4362
8	4813
8	5088
8	5413
8	5702
8	5995
9	80
9	316
9	602
9	892
9	1214
9	1516
9	1815
9	2113
9	2409
9	2708
9	3006
9	3316
9	3617
9	3916
9	4205
9	4496
9	4793
9	5100
9	5413
9	5718
10	92
10	316
10	603
10	908
10	1218
10	1514
10	1692
10	2116
10	2402
10	2712
10	3017
10	3309
10	3604
10	3912
10	4199
10	4519
10	4824
10	5099
10	5389
10	5683
10	5988
11	144
11	317
11	611
11	905
11	1222
11	1516
11	1668
11	2116
11	2404
11	2713
11	2925
11	3310
11	3596
11	3895
11	4194
11	4502
11	4816
11	5114
11	5421
11	5690
11	5998
12	126
12	317
12	608
12	912
12	1213
12	1519
12	1812
12	2119
12	2418
12	2677
12	3002
12	3305
12	3604
12	3893
12	4193
12	4514
12	4819
12	5115
12	5419
12	5705
12	5994
13	179
13	317
13	609
13	917
13	1223
13	1518
13	1816
13	2115
13	2361
13	2702
13	3007
13	3311
13	3598
13	3894
13	4216
13	4520
13	4798
13	5094
13	5422
13	5718
13	6000
14	285
14	317
14	612
14	913
14	1224
14	1514
14	1815
14	2121
14	2302
14	2714
14	3014
14	3273
14	3462
14	3897
14	4217
14	4495
14	4795
14	5103
14	5396
14	5715
15	157
15	318
15	601
15	917
15	1194
15	1514
15	1817
15	2117
15	2417
15	2704
15	3018
15	3316
15	3611
15	3917
15	4194
15	4493
15	4800
15	5091
15	5403
15	5720
15	5995
16	145
16	316
16	604
16	910
16	1220
16	1515
16	1818
16	2111
16	2315
16	2702
16	3018
16	3307
16	3600
16	3907
16	4215
16	4514
16	4814
16	5120
16	5387
16	5722
16	5991
17	193
17	318
17	602
17	909
17	1220
17	1457
17	1811
17	2118
17	2410
17	2712
17	3015
17	3305
17	3616
17	3918
17	4197
17	4492
17	4815
17	5092
17	5378
17	5687
18	76
18	318
18	603
18	903
18	1129
18	1515
18	1810
18	2119
18	2404
18	2717
18	3016
18	3314
18	3620
18	3902
18	4217
18	4496
18	4809
18	5097
18	5393
18	5688
18	5989
19	216
19	318
19	609
19	919
19	1199
19	1516
19	1809
19	2120
19	2406
19	2714
19	3009
19	3175
19	3605
19	3899
19	4209
19	4346
19	4794
19	5109
19	5394
19	5722
20	126
20	318
20	615
20	920
20	1219
20	1511
20	1818
20	2113
20	2411
20	2715
20	3013
20	3303
20	3601
20	3908
20	4219
20	4506
20	4816
20	5117
20	5412
20	5719
20	6000
21	213
21	317
21	614
21	920
21	1204
21	1522
21	1817
21	2112
21	2412
21	2716
21	3006
21	3312
21	3602
21	3900
21	4220
21	4510
21	4801
21	5099
21	5417
21	5704
22	258
22	317
22	617
22	896
