48	48	125
-1	-1	-1	-1	-1	-1	2&25	-1	-1	-1	-1	0&5	-1	9&3	-1	-1	-1	-1	16&114	-1	-1	107&3	-1	0&31	-1	1&5	-1	-1	-1	5&2	-1	1&119	-1	0&58	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11&21	
-1	-1	57&85	1&3	97&122	83&103	-1	-1	-1	-1	1&84	-1	4&43	-1	-1	-1	-1	-1	-1	-1	92&51	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	85&8	-1	-1	12&100	-1	-1	96&4	-1	-1	-1	-1	68&86	-1	-1	-1	-1	
-1	-1	14&94	-1	0&77	-1	11&14	-1	-1	5&0	-1	-1	-1	-1	-1	-1	-1	7&41	0&22	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83&67	-1	47&1	-1	-1	-1	-1	2&63	-1	-1	-1	-1	-1	2&68	
-1	-1	-1	4&11	-1	-1	-1	-1	-1	5&15	-1	-1	-1	-1	-1	-1	-1	1&2	-1	-1	111&16	90&27	-1	-1	-1	69&0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	6&8	-1	50&2	-1	2&90	-1	124&5	
33&13	-1	-1	-1	1&19	-1	-1	-1	-1	-1	-1	-1	-1	-1	52&2	3&101	-1	-1	-1	-1	29&22	35&82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0&108	1&2	-1	-1	-1	-1	-1	-1	-1	-1	-1	124&37	-1	-1	-1	
-1	-1	-1	8&19	-1	0&22	-1	-1	-1	1&78	4&94	-1	-1	-1	-1	3&32	23&2	-1	-1	-1	-1	-1	-1	-1	-1	89&104	-1	-1	-1	-1	-1	-1	-1	-1	-1	1&121	-1	42&6	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	1&37	-1	1&20	12&113	-1	-1	-1	-1	-1	-1	40&63	-1	-1	1&97	-1	-1	66&9	-1	-1	1&55	-1	98&70	13&78	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3&115	0&31	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	3&122	-1	58&44	-1	-1	-1	-1	-1	-1	4&87	-1	93&55	-1	-1	-1	77&3	-1	-1	-1	-1	-1	-1	-1	-1	-1	37&30	-1	52&123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
38&3	104&55	1&72	-1	52&1	-1	4&25	-1	-1	-1	-1	-1	-1	27&20	-1	-1	68&65	6&14	121&35	79&14	-1	-1	-1	61&109	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	31&0	-1	-1	-1	-1	-1	-1	3&74	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70&5	-1	111&0	-1	-1	-1	-1	-1	-1	51&6	-1	1&4	-1	-1	0&123	-1	-1	108&89	-1	-1	-1	-1	57&119	-1	22&28	-1	113&60	-1	
-1	-1	32&1	-1	-1	-1	-1	-1	18&0	-1	-1	3&5	12&0	-1	-1	-1	-1	-1	-1	-1	17&0	-1	-1	-1	-1	106&0	-1	-1	-1	14&98	-1	-1	124&71	6&74	-1	-1	114&37	124&25	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	5&73	-1	0&3	-1	8&109	-1	-1	-1	8&84	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0&5	94&90	-1	43&109	-1	-1	-1	61&9	2&8	-1	8&1	-1	-1	-1	
-1	0&5	-1	14&34	-1	-1	-1	-1	-1	-1	-1	-1	-1	103&80	-1	-1	-1	-1	0&119	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	3&40	-1	0&39	19&5	5&39	36&0	114&79	122&97	-1	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	17&66	3&2	-1	-1	7&0	1&98	10&106	-1	-1	-1	-1	40&42	-1	-1	0&3	-1	-1	-1	-1	-1	-1	-1	0&25	-1	58&34	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	60&1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	11&1	-1	-1	-1	-1	-1	-1	-1	7&20	-1	-1	109&2	-1	-1	-1	9&85	-1	116&52	1&117	52&97	-1	-1	-1	-1	-1	87&18	37&121	
30&101	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	96&0	-1	-1	-1	-1	-1	-1	19&3	-1	-1	-1	-1	-1	-1	-1	1&2	64&24	-1	-1	-1	-1	-1	5&37	69&0	-1	-1	8&94	-1	-1	19&12	-1	59&24	7&106	-1	-1	-1	
