25	25	240
124	82	-1	-1	0	7	-1	-1	28	65	-1	-1	19	-1	-1	183	235	-1	-1	-1	-1	-1	-1	-1	-1	
-1	29	10	-1	-1	-1	47	-1	-1	-1	-1	26	65	-1	53	37	-1	-1	50	113	-1	-1	-1	-1	-1	
18	-1	188	117	63	-1	-1	-1	2	20	26	90	61	-1	-1	-1	-1	-1	-1	-1	-1	-1	110	183	20	
72	23	-1	-1	-1	2	-1	-1	-1	193	-1	40	-1	48	-1	-1	-1	29	225	109	-1	-1	-1	-1	0	
-1	-1	160	203	-1	2	22	73	-1	-1	153	48	177	-1	-1	53	-1	-1	-1	-1	-1	-1	-1	167	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	85	-1	28	-1	-1	-1	-1	92	4	89	25	110	18	-1	
32	-1	-1	9	42	-1	-1	-1	-1	-1	-1	-1	204	-1	0	6	49	172	49	-1	-1	-1	-1	210	-1	
-1	-1	-1	-1	-1	-1	-1	117	30	-1	211	-1	80	-1	168	-1	-1	-1	27	137	5	152	189	-1	43	
-1	-1	180	-1	-1	3	-1	-1	66	132	-1	125	-1	147	-1	87	15	58	-1	-1	-1	-1	-1	-1	-1	
-1	75	161	-1	114	-1	7	17	220	-1	9	-1	-1	-1	-1	-1	79	131	-1	-1	-1	-1	-1	-1	84	
70	58	168	-1	146	1	63	3	-1	-1	139	-1	-1	-1	226	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	1	-1	-1	-1	30	231	-1	25	-1	50	-1	188	7	-1	-1	11	-1	8	-1	-1	236	60	119	21	
-1	73	-1	14	-1	-1	179	-1	215	-1	-1	-1	-1	-1	-1	19	128	222	41	-1	158	-1	-1	-1	-1	
62	38	-1	-1	-1	-1	-1	-1	35	109	99	-1	-1	-1	-1	-1	156	-1	-1	46	23	91	-1	-1	112	
-1	-1	162	27	-1	116	-1	231	-1	7	-1	175	227	-1	74	171	-1	-1	-1	-1	233	171	86	181	117	
179	-1	-1	-1	-1	201	-1	27	-1	-1	17	-1	-1	-1	20	-1	-1	-1	-1	11	15	39	51	-1	-1	
124	67	49	-1	1	-1	-1	176	-1	-1	-1	-1	-1	-1	-1	-1	174	55	199	158	-1	-1	-1	-1	-1	
-1	-1	-1	59	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	43	55	53	94	182	127	
-1	-1	7	-1	167	49	218	40	-1	-1	139	-1	-1	210	-1	227	215	-1	-1	-1	-1	121	22	115	131	
57	-1	-1	75	-1	-1	-1	10	206	-1	-1	-1	-1	-1	-1	-1	159	77	-1	-1	69	114	182	-1	12	
-1	-1	-1	95	-1	-1	239	76	175	7	219	133	109	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	199	-1	
-1	-1	-1	5	145	-1	-1	-1	-1	-1	-1	-1	-1	19	205	136	-1	152	-1	150	52	238	142	194	-1	
9	-1	-1	-1	196	-1	-1	-1	-1	13	-1	-1	-1	148	238	-1	-1	80	204	120	225	-1	-1	-1	-1	
-1	233	-1	-1	180	222	117	-1	-1	-1	-1	220	179	127	126	-1	-1	60	-1	-1	-1	-1	-1	-1	-1	
-1	-1	171	119	-1	-1	91	-1	-1	36	-1	68	-1	121	163	216	-1	-1	79	-1	-1	-1	-1	-1	-1	

