16	16	375
-1	-1	82&0	-1	127&348	101&243	-1	-1	-1	-1	-1	-1	-1	-1	140&299	64&158	
-1	-1	-1	-1	253&320	-1	212&0	225&269	-1	-1	319&9	51&321	224&184	-1	-1	356&293	
-1	0&1	-1	-1	-1	-1	-1	-1	262&0	14&162	-1	-1	241&229	-1	-1	217&340	
278&103	-1	-1	-1	-1	-1	-1	0&335	-1	27&0	-1	283&306	-1	-1	77&181	-1	
-1	-1	-1	0&55	-1	344&4	-1	-1	257&125	146&291	172&335	-1	-1	-1	-1	233&169	
-1	-1	-1	-1	19&225	205&309	22&77	358&139	-1	-1	19&65	-1	-1	-1	-1	-1	
-1	-1	-1	-1	99&157	-1	-1	-1	-1	-1	277&243	-1	-1	322&51	-1	-1	
-1	-1	-1	371&41	-1	-1	0&331	-1	124&327	-1	-1	-1	-1	36&153	-1	-1	
-1	-1	-1	-1	-1	-1	173&90	-1	-1	-1	-1	-1	29&237	148&224	-1	-1	
-1	-1	110&301	-1	-1	130&73	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
133&173	-1	86&352	-1	186&306	-1	-1	-1	-1	-1	132&345	-1	-1	-1	195&153	-1	
-1	-1	-1	36&185	-1	-1	-1	-1	219&318	-1	-1	251&191	-1	-1	-1	-1	
363&61	276&0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	314&120	241&21	140&66	
82&39	284&183	-1	256&17	-1	-1	-1	175&272	-1	-1	-1	35&346	-1	-1	-1	-1	
92&124	312&179	264&48	318&143	-1	334&288	-1	-1	294&244	320&332	-1	-1	307&191	-1	211&13	-1	
-1	197&70	194&154	-1	-1	-1	224&138	1&114	-1	29&360	-1	52&319	355&205	28&344	-1	-1	

