48	48	125
-1	-1	-1	-1	-1	-1	13	-1	-1	-1	-1	22	-1	26	-1	-1	-1	-1	36	-1	-1	84	-1	65	-1	0	-1	-1	-1	79	-1	63	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	21	
-1	-1	59	114	0	0	-1	-1	-1	-1	112	-1	24	-1	-1	-1	-1	-1	-1	-1	123	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	76	-1	-1	69	-1	-1	73	-1	-1	-1	-1	118	-1	-1	-1	-1	
-1	-1	109	-1	90	-1	61	-1	-1	7	-1	-1	-1	-1	-1	-1	-1	18	111	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	72	-1	37	-1	-1	-1	-1	68	-1	-1	-1	-1	-1	86	
-1	-1	-1	2	-1	-1	-1	-1	-1	28	-1	-1	-1	-1	-1	-1	-1	83	-1	-1	75	43	-1	-1	-1	112	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	7	-1	66	-1	13	
0	-1	-1	-1	34	-1	-1	-1	-1	-1	-1	-1	-1	-1	117	71	-1	-1	-1	-1	80	66	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	124	70	-1	-1	-1	-1	-1	-1	-1	-1	-1	96	-1	-1	-1	
-1	-1	-1	46	-1	41	-1	-1	-1	36	0	-1	-1	-1	-1	48	1	-1	-1	-1	-1	-1	-1	-1	-1	93	-1	-1	-1	-1	-1	-1	-1	-1	-1	29	-1	32	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	54	-1	41	0	-1	-1	-1	-1	-1	-1	13	-1	-1	114	-1	-1	38	-1	-1	105	-1	74	121	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	90	22	-1	-1	-1	-1	-1	-1	-1	
-1	-1	-1	-1	-1	-1	-1	103	-1	51	-1	-1	-1	-1	-1	-1	27	-1	57	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	16	-1	82	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
53	0	78	-1	50	-1	78	-1	-1	-1	-1	-1	-1	3	-1	-1	76	115	97	24	-1	-1	-1	89	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	105	-1	-1	-1	-1	-1	-1	67	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	5	-1	103	-1	-1	-1	-1	-1	-1	31	-1	86	-1	-1	1	-1	-1	61	-1	-1	-1	-1	82	-1	52	-1	120	-1	
