16	16	375
-1	-1	236&57	-1	0&205	66&291	-1	-1	-1	-1	-1	-1	-1	-1	295&165	148&320	
-1	-1	-1	-1	0&130	-1	228&356	89&309	-1	-1	162&124	91&158	177&58	-1	-1	266&150	
-1	208&0	-1	-1	-1	-1	-1	-1	290&224	218&369	-1	-1	211&55	-1	-1	247&127	
152&201	-1	-1	-1	-1	-1	-1	0&318	-1	322&319	-1	222&283	-1	-1	49&348	-1	
-1	-1	-1	166&113	-1	161&0	-1	-1	31&24	300&10	373&351	-1	-1	-1	-1	259&270	
-1	-1	-1	-1	270&194	138&295	237&60	169&241	-1	-1	121&221	-1	-1	-1	-1	-1	
-1	-1	-1	-1	172&219	-1	-1	-1	-1	-1	36&294	-1	-1	339&116	-1	-1	
-1	-1	-1	0&267	-1	-1	15&22	-1	153&44	-1	-1	-1	-1	247&301	-1	-1	
-1	-1	-1	-1	-1	-1	115&249	-1	-1	-1	-1	-1	300&184	30&177	-1	-1	
-1	-1	222&258	-1	-1	210&239	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
6&87	-1	253&76	-1	209&43	-1	-1	-1	-1	-1	100&91	-1	-1	-1	52&121	-1	
-1	-1	-1	298&147	-1	-1	-1	-1	363&6	-1	-1	8&341	-1	-1	-1	-1	
0&235	365&62	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	88&239	89&93	201&266	
113&231	291&120	-1	9&68	-1	-1	-1	206&282	-1	-1	-1	274&251	-1	-1	-1	-1	
320&18	0&286	122&187	163&248	-1	199&352	-1	-1	7&362	237&374	-1	-1	144&109	-1	63&86	-1	
-1	195&161	337&24	-1	-1	-1	315&371	356&202	-1	186&293	-1	360&351	329&281	266&30	-1	-1	

